                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                    152,                0.93465,                0.43859,                0.84522,                0.96702,                0.98387,                0.98708,                0.75413,                0.93514,                0.41579,                0.87398,               0.000515,               0.000515,               0.000515
                    153,                0.97107,                0.44422,                0.83491,                0.96419,                0.98387,                0.98713,                0.76374,                0.88593,                0.42053,                0.86632,              0.0005051,              0.0005051,              0.0005051
                    154,                0.93597,                0.44498,                0.83115,                0.96614,                0.98387,                0.98783,                 0.7876,                0.80478,                0.40727,                0.85462,              0.0004952,              0.0004952,              0.0004952
                    155,                0.96937,                0.44159,                0.85099,                0.96545,                0.98387,                0.98805,                0.78694,                0.80168,                0.39289,                0.85302,              0.0004853,              0.0004853,              0.0004853
                    156,                0.91009,                0.43025,                 0.8501,                0.97892,                0.98387,                0.98848,                0.78361,                0.83594,                0.39204,                 0.8573,              0.0004754,              0.0004754,              0.0004754
                    157,                0.95433,                0.43926,                0.83378,                 0.9802,                0.98387,                0.98854,                0.78228,                0.81536,                0.38764,                0.85424,              0.0004655,              0.0004655,              0.0004655
                    158,                0.92412,                0.42768,                0.84239,                0.98385,                0.98271,                0.98843,                0.78204,                0.82536,                0.39363,                0.85529,              0.0004556,              0.0004556,              0.0004556
                    159,                0.91913,                0.42192,                0.84376,                0.98384,                0.98222,                0.98837,                0.77225,                0.84824,                0.40607,                0.85838,              0.0004457,              0.0004457,              0.0004457
                    160,                0.96854,                0.44187,                0.83865,                0.98385,                0.98246,                0.98813,                0.77202,                 0.8914,                0.41748,                0.86257,              0.0004358,              0.0004358,              0.0004358
                    161,                 0.8953,                0.41729,                0.83828,                0.98385,                0.98261,                0.98835,                0.77383,                0.87382,                0.40681,                0.85941,              0.0004259,              0.0004259,              0.0004259
                    162,                0.87718,                0.41392,                0.83836,                0.98305,                0.98387,                0.99377,                0.78118,                0.84822,                0.39793,                0.85526,               0.000416,               0.000416,               0.000416
                    163,                0.94652,                0.43026,                0.84333,                0.98007,                0.98387,                0.99345,                 0.7842,                0.84167,                0.38793,                0.85586,              0.0004061,              0.0004061,              0.0004061
                    164,                0.89941,                0.41769,                0.84007,                0.98383,                0.98153,                0.98844,                0.77883,                0.86653,                0.39571,                0.86032,              0.0003962,              0.0003962,              0.0003962
                    165,                 0.9222,                0.42187,                0.84355,                0.98383,                0.98145,                0.98844,                0.78098,                0.86824,                0.39921,                0.85943,              0.0003863,              0.0003863,              0.0003863
                    166,                0.92891,                0.42255,                0.83221,                0.98383,                0.98158,                0.98864,                0.78275,                0.82905,                0.38976,                 0.8535,              0.0003764,              0.0003764,              0.0003764
                    167,                0.93079,                0.41645,                 0.8406,                0.98384,                 0.9822,                0.98864,                0.79165,                0.80919,                0.39057,                0.85236,              0.0003665,              0.0003665,              0.0003665
                    168,                0.86364,                0.40141,                0.83881,                0.99982,                0.93548,                0.98497,                0.79559,                0.80775,                0.38012,                0.85112,              0.0003566,              0.0003566,              0.0003566
                    169,                0.89328,                0.40916,                0.82933,                0.99986,                0.93548,                0.98449,                0.79586,                0.84147,                0.38746,                0.85559,              0.0003467,              0.0003467,              0.0003467
                    170,                0.91541,                0.41157,                 0.8483,                 0.9989,                0.93548,                0.98393,                0.78541,                0.87412,                0.39185,                0.86139,              0.0003368,              0.0003368,              0.0003368
                    171,                0.96175,                 0.4234,                0.84477,                0.99926,                0.93548,                0.98307,                0.78427,                0.86574,                0.38481,                0.85959,              0.0003269,              0.0003269,              0.0003269
                    172,                0.92604,                0.41478,                0.83871,                      1,                0.93384,                0.98278,                0.78529,                0.81824,                0.38688,                0.85456,               0.000317,               0.000317,               0.000317
                    173,                0.92869,                0.42404,                0.83206,                      1,                0.93267,                0.98304,                0.79519,                0.79985,                0.38164,                0.85298,              0.0003071,              0.0003071,              0.0003071
                    174,                0.93305,                0.42101,                0.83954,                      1,                0.93019,                0.98482,                0.78195,                0.84031,                0.38239,                0.85965,              0.0002972,              0.0002972,              0.0002972
                    175,                0.87587,                0.39825,                0.84531,                      1,                0.93211,                 0.9856,                0.77511,                0.85258,                0.38063,                0.86233,              0.0002873,              0.0002873,              0.0002873
                    176,                0.93921,                0.41683,                 0.8457,                 0.9833,                0.94978,                 0.9855,                0.78014,                0.86633,                0.38511,                0.86527,              0.0002774,              0.0002774,              0.0002774
                    177,                0.90013,                0.40724,                0.83698,                0.98331,                0.95023,                0.97859,                0.77466,                 0.8591,                0.38645,                0.86406,              0.0002675,              0.0002675,              0.0002675
                    178,                0.89417,                0.40544,                 0.8428,                0.98333,                 0.9512,                0.97958,                0.79745,                0.80902,                0.37124,                0.85528,              0.0002576,              0.0002576,              0.0002576
                    179,                0.88455,                0.40048,                0.83486,                0.98333,                0.95148,                 0.9884,                0.79921,                0.81173,                0.37143,                0.85493,              0.0002477,              0.0002477,              0.0002477
                    180,                0.87379,                0.40065,                0.83568,                0.96815,                0.98062,                 0.9892,                0.78051,                0.84183,                0.38213,                0.86004,              0.0002378,              0.0002378,              0.0002378
